title,date,price,is_discounted,locals,surface,bathrooms,floor
"Appartamento via Giovanni Arpino, Pozzo Strada, Torino",29/12/2022,€ 315.000,0,5,131 m²,3,6
"Trilocale via Cesana, 84, 10139 Torino TO, Cenisia, Torino",02/01/2023,€ 274.000,0,3,104 m²,2,4
"Appartamento via Nizza 177, Nizza Millefonti, Torino",03/08/2022,€ 289.000,0,5,136 m²,2,1
"Trilocale via Principessa Clotilde 77, San Donato, Torino",28/12/2022,€ 144.000,0,3,68 m²,1,2
"Trilocale via Filadelfia 169, Santa Rita, Torino",02/01/2023,€ 225.000,0,3,90 m²,2,6
"Trilocale corso Regina Margherita 205/bis, San Donato, Torino",28/12/2022,€ 245.700,0,3,98 m²,2,6
"Trilocale via Saluzzo 22, San Salvario - Baretti, Torino",20/12/2022,€ 228.000,0,3,84 m²,1,1
"Quadrilocale corso Sebastopoli 235a, Santa Rita, Torino",03/01/2023,€ 259.000,0,4,125 m²,2,4
"Appartamento via Alfonso La Marmora 41, Crocetta, Torino",23/12/2022,€ 619.000,0,5,180 m²,2,2
"Trilocale via Gorizia 197, Santa Rita, Torino",28/12/2022,€ 128.000,0,3,80 m²,1,3
"Appartamento corso Bernardino Telesio 121, Parella, Torino",28/12/2022,€ 590.000,0,5+,175 m²,3,3
"Appartamento via Giovanni Servais 92, Parella, Torino",01/01/2023,€ 510.000,0,5+,240 m²,2,2
"Bilocale corso Sebastopoli 259, Santa Rita, Torino",28/12/2022,€ 98.000,0,2,65 m²,1,1
"Appartamento corso Rodolfo Montevecchio 53, Crocetta, Torino",28/12/2022,€ 990.000,0,5+,270 m²,3,1
"Appartamento via Principessa Felicita di Savoia 8/10, Gran Madre - Crimea, Torino",06/01/2022,€ 1.490.000,0,5+,450 m²,3,T
"Appartamento via Giuseppe Baretti 46, San Salvario - Baretti, Torino",14/11/2022,€ 840.000,0,5,260 m²,3,2
"Appartamento corso Filippo Turati 12, San Secondo, Torino",23/12/2022,€ 378.000,1,5,155 m²,2,1
"Appartamento corso Luigi Einaudi 8, Crocetta, Torino",01/01/2023,€ 680.000,0,5,233 m²,3,
"Trilocale via Antonio Canova 3, San Salvario - Dante, Torino",12/12/2022,€ 290.000,0,3,91 m²,2,5
"Appartamento via Giambattista Bogino, 25, 10123 Torino TO, Via Roma, Torino",02/01/2023,€ 1.850.000,0,5+,500 m²,3+,1
"Appartamento via Giambattista Bogino, 25, 10123 Torino TO, Via Roma, Torino",02/01/2023,€ 1.040.000,0,5,275 m²,3,1
"Trilocale corso Rodolfo Montevecchio 35, Crocetta, Torino",05/11/2021,€ 990.000,0,3,265 m²,3,3
"Appartamento via Giuseppe Garibaldi, Quadrilatero Romano, Torino",14/12/2022,€ 529.000,0,5+,200 m²,2,2
"Quadrilocale via Ventimiglia  16, Nizza Millefonti, Torino",21/12/2022,€ 229.000,0,4,90 m²,1,5
"Trilocale via Tripoli 100, Santa Rita, Torino",02/12/2022,€ 149.000,0,3,90 m²,1,4
"Attico via Amerigo Vespucci 6, Crocetta, Torino",14/12/2022,Prezzo su richiesta,0,5+,351 m²,3,5
"Appartamento via Arturo Colautti 18, Borgo Vittoria, Torino",16/12/2022,€ 169.000,0,5,141 m²,2,1
"Bilocale corso Casale 456, Sassi, Torino",21/12/2022,€ 150.000,0,2,73 m²,1,R
"Bilocale corso Sebastopoli 212, Santa Rita, Torino",30/11/2022,€ 114.000,0,2,58 m²,1,3
"Quadrilocale via Balme 8, Campidoglio, Torino",01/12/2022,€ 359.000,0,4,130 m²,2,1
"Quadrilocale via Montezemolo 16, Santa Rita, Torino",30/12/2022,€ 249.000,0,4,100 m²,2,3
"Trilocale via Pietro Canonica, Città Giardino, Torino",17/12/2022,€ 149.000,0,3,90 m²,1,6
"Appartamento via Leinì 25, Barriera di Milano, Torino",30/12/2022,€ 117.000,0,5,115 m²,1,2
"Quadrilocale corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 290.000,0,4,90 m²,2,1
"Quadrilocale corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 295.000,0,4,90 m²,2,2
"Quadrilocale corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 300.000,0,4,95 m²,2,1
"Quadrilocale corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 305.000,0,4,90 m²,2,3
"Quadrilocale corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 305.000,0,4,95 m²,2,2
"Quadrilocale corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 325.000,0,4,105 m²,2,1
